Counting Group,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Democratic,"REP Circuit Court Judge, Div. 2","REP Circuit Court Judge, Div. 2",REP County Mayor,REP County Mayor,"REP County Commission, District 1","REP County Commission, District 1","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 3","REP County Commission, District 3","REP County Commission, District 4","REP County Commission, District 4","REP County Commission, District 5","REP County Commission, District 5","REP County Commission, District 6","REP County Commission, District 6","REP County Commission, District 7","REP County Commission, District 7","REP County Commission, District 8","REP County Commission, District 8","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 11","REP County Commission, District 11",REP County Trustee,REP County Trustee,REP Sheriff,REP Sheriff,REP Circuit Court Clerk,REP Circuit Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Juvenile Court Clerk,REP Juvenile Court Clerk,REP County Clerk,REP County Clerk,REP Register of Deeds,REP Register of Deeds,"REP County School Board, District 3","REP County School Board, District 3","REP County School Board, District 5","REP County School Board, District 5","REP County School Board, District 6","REP County School Board, District 6","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 9","REP County School Board, District 9","REP County School Board, District 9",REP Lookout Mountain School Board,REP Lookout Mountain School Board,"DEM Circuit Court Judge, Div. 2","DEM Circuit Court Judge, Div. 2",DEM County Mayor,DEM County Mayor,"DEM County Commission, District 1","DEM County Commission, District 1","DEM County Commission, District 2","DEM County Commission, District 2","DEM County Commission, District 3","DEM County Commission, District 3","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 6","DEM County Commission, District 6","DEM County Commission, District 7","DEM County Commission, District 7","DEM County Commission, District 8","DEM County Commission, District 8","DEM County Commission, District 9","DEM County Commission, District 9","DEM County Commission, District 10","DEM County Commission, District 10","DEM County Commission, District 11","DEM County Commission, District 11",DEM County Trustee,DEM County Trustee,DEM Sheriff,DEM Sheriff,DEM Circuit Court Clerk,DEM Circuit Court Clerk,DEM Criminal Court Clerk,DEM Criminal Court Clerk,DEM Juvenile Court Clerk,DEM Juvenile Court Clerk,DEM County Clerk,DEM County Clerk,DEM Register of Deeds,DEM Register of Deeds,"DEM County School Board, District 3","DEM County School Board, District 3","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 6","DEM County School Board, District 6","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 9","DEM County School Board, District 9",DEM Lookout Mountain School Board,DEM Lookout Mountain School Board
Election Day,14,CONCORD A,1736,67,26,41,22,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,22,0,22,0,21,0,6,19,0,21,0,22,0,20,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,3,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,2,0,3,0,3,39,0,0,1,0,2,0,2,0,0,0,0,0,0,0,15,22,1,0,0,0,0
Early Voting,14,CONCORD A,1736,46,13,33,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,11,0,12,0,7,6,0,11,0,12,0,11,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,1,0,0,0,0
Absentee,14,CONCORD A,1736,9,7,2,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,1,7,0,5,1,1,4,0,6,1,6,1,5,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Provisional,14,CONCORD A,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,14,CONCORD A,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,14,CONCORD A,1736,8,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,2,2,0,4,0,4,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Election Day,15,CONCORD B,3002,124,43,81,41,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,38,2,39,0,41,0,11,31,0,40,0,39,1,39,0,0,0,0,0,0,0,27,15,1,0,0,0,0,0,0,4,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0,5,0,5,0,4,72,2,0,4,0,4,0,3,0,0,0,0,0,0,0,32,47,0,0,0,0,0
Early Voting,15,CONCORD B,3002,92,30,62,27,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0,29,1,29,0,3,26,0,29,0,28,0,28,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,3,0,2,0,2,57,0,0,2,0,3,0,4,0,0,0,0,0,0,0,35,26,0,0,0,0,0
Absentee,15,CONCORD B,3002,18,9,9,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,1,8,0,7,0,8,0,8,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,1,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0
Provisional,15,CONCORD B,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,15,CONCORD B,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,15,CONCORD B,3002,8,6,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Election Day,16,COURTHOUSE,1418,82,5,77,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,1,4,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0,0,0,0,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,72,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Voting,16,COURTHOUSE,1418,52,7,45,7,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,6,1,1,6,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absentee,16,COURTHOUSE,1418,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisional,16,COURTHOUSE,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,16,COURTHOUSE,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,16,COURTHOUSE,1418,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,17,DALEWOOD,2104,189,3,186,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,1,1,2,0,3,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,130,2,0,0,0,0,0,0,0,0,0,82,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,7,169,1,0,7,0,9,0,8,0,0,75,108,1,0,0,0,0,0,0,0,0,0
Early Voting,17,DALEWOOD,2104,296,4,292,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,1,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,194,6,0,0,0,0,0,0,0,0,0,165,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,6,268,1,0,5,0,6,0,7,0,0,120,159,2,0,0,0,0,0,0,0,0,0
Absentee,17,DALEWOOD,2104,27,4,23,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0
Provisional,17,DALEWOOD,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,17,DALEWOOD,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,17,DALEWOOD,2104,10,3,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,1,1,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Election Day,18,DALLAS,3625,107,66,41,64,0,61,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,64,0,22,43,0,61,0,63,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,41,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Voting,18,DALLAS,3625,107,77,30,72,0,69,4,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,77,0,72,0,19,52,0,73,0,72,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,27,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absentee,18,DALLAS,3625,4,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisional,18,DALLAS,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,18,DALLAS,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,18,DALLAS,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,19,DOWNTOWN,2516,105,19,86,15,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,15,0,3,13,0,16,0,15,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70,2,0,0,0,0,0,0,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,73,1,0,4,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Voting,19,DOWNTOWN,2516,65,19,46,19,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,16,0,3,16,0,17,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0,0,0,0,18,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,41,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absentee,19,DOWNTOWN,2516,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisional,19,DOWNTOWN,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,19,DOWNTOWN,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,19,DOWNTOWN,2516,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,20,DUPONT,2899,112,59,53,53,0,51,2,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,56,1,55,0,12,40,0,49,0,55,0,54,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,52,1,0,2,0,3,0,3,51,2,0,0,0,0,0,0,0,0,0,0,0,0
Early Voting,20,DUPONT,2899,106,68,38,54,0,64,1,0,0,0,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,64,1,55,1,14,49,1,60,1,59,1,59,1,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Absentee,20,DUPONT,2899,12,2,10,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisional,20,DUPONT,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,20,DUPONT,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,20,DUPONT,2899,9,7,2,7,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,3,3,0,6,0,6,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,21,EAST BRAINERD A,3192,122,61,61,54,0,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,0,0,0,0,0,51,3,53,1,50,2,18,37,0,52,0,54,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,57,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Voting,21,EAST BRAINERD A,3192,66,24,42,23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23,0,4,20,0,23,0,23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absentee,21,EAST BRAINERD A,3192,9,5,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,2,3,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisional,21,EAST BRAINERD A,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Military & Overseas,21,EAST BRAINERD A,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursing Home,21,EAST BRAINERD A,3192,7,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,1,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Day,22,EAST BRAINERD B,4547,174,74,100,70,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,71,1,68,3,71,1,18,51,2,69,0,70,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,0,0,0,0,0,0,0,0,0,7,0,7,0,4,92,1,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
